analysis_group,label,cohort,ocid,character_name,levels,start_level,end_level,total_growth,event_growth,between_growth,max_interval_growth,max_interval_seg,burst_ratio,std_interval,n_active_ge2,n_active_ge1,n_flat,n_intervals_known,seg0_assemble,seg4_overdrive,first_260_offset,exp_rate_at_260,obs_days_after_260,final_exp_rate,cp_delta_5snap
parker_vs_persistent,Seasonal_Parker,past260,22fa89d61007810fc5eb1a548a45f176,,261|261|261|262|262|266,261,266,5,4,1,4,4,0.8,1.55,1,2,3,5,0,4,,,,,
parker_vs_persistent,Seasonal_Parker,at260,6aa175852e53cf84803c974eee2b8dfcefe8d04e6d233bd35cf2fabdeb93fb0d,,251|260|260|260|260|260,251,260,9,9,0,9,0,1.0,3.6,1,1,4,5,9,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,4718c9518becadd35feec18ffc60d265efe8d04e6d233bd35cf2fabdeb93fb0d,,226|260|260|260|260|260,226,260,34,34,0,34,0,1.0,13.6,1,1,4,5,34,0,,,,,
parker_vs_persistent,Seasonal_Parker,past260,14adc9e51f502dd3a4414b66858e0edcefe8d04e6d233bd35cf2fabdeb93fb0d,,250|262|262|262|262|262,250,262,12,12,0,12,0,1.0,4.8,1,1,4,5,12,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,1ec19129892f9b53d257cf4bbad35507,,220|260|260|260|260|260,220,260,40,40,0,40,0,1.0,16.0,1,1,4,5,40,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,f13c3c02550fc375b7ab8f3aad57dfb086e68d4012202d0434d05f81868f68e3,,255|260|260|260|260|260,255,260,5,5,0,5,0,1.0,2.0,1,1,4,5,5,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,84c02150731ba1e3e04f93afa3585f7aefe8d04e6d233bd35cf2fabdeb93fb0d,,253|259|259|259|259|260,253,260,7,7,0,6,0,0.857,2.33,1,2,3,5,6,1,,,,,
parker_vs_persistent,Seasonal_Parker,past260,5ba1821568da89325981c6f0019701e8,,251|262|262|262|262|262,251,262,11,11,0,11,0,1.0,4.4,1,1,4,5,11,0,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,be50c466d88e99674713904f4b85f29c,,280|281|281|281|281|285,280,285,5,5,0,4,4,0.8,1.55,1,2,3,5,1,4,,,,,
parker_vs_persistent,Seasonal_Parker,at260,e8b7789820542a49c5167858143b940aefe8d04e6d233bd35cf2fabdeb93fb0d,,250|260|260|260|260|260,250,260,10,10,0,10,0,1.0,4.0,1,1,4,5,10,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,42a3870b8999c0537185ea6735549b26,,230|260|260|260|260|260,230,260,30,30,0,30,0,1.0,12.0,1,1,4,5,30,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,39f9e29601953aa554df254cfea81665,,260|260|260|260|260|264,260,264,4,4,0,4,4,1.0,1.6,1,1,4,5,0,4,,,,,
parker_vs_persistent,Seasonal_Parker,past260,6936fd4ca030970a5bd7003771a5c350,,257|262|262|262|262|262,257,262,5,5,0,5,0,1.0,2.0,1,1,4,5,5,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,2eb9cc3de8dfdfe726934f0374e6d4e8,,250|260|260|260|260|260,250,260,10,10,0,10,0,1.0,4.0,1,1,4,5,10,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,bd1cb4182521f3a97ab6810bc54bf8a3,,255|260|260|260|260|260,255,260,5,5,0,5,0,1.0,2.0,1,1,4,5,5,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,df39ef07d6fe6534d6e2bf69673d56e4aae77432709819edb959e1fd5d1d77b4,,255|260|260|260|260|260,255,260,5,5,0,5,0,1.0,2.0,1,1,4,5,5,0,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,4f3b4b39c8ddd327b3b8a2b1e95eddde,,277|281|281|281|281|281,277,281,4,4,0,4,0,1.0,1.6,1,1,4,5,4,0,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,0fc562e3f41f92d8b7f6ac2d5835442e,,277|278|279|280|280|283,277,283,6,4,2,3,4,0.5,0.98,1,4,1,5,1,3,,,,,
parker_vs_persistent,Seasonal_Parker,at260,13c1c1bde2f14d9390a8a609c42bf4a1efe8d04e6d233bd35cf2fabdeb93fb0d,,257|260|260|260|260|260,257,260,3,3,0,3,0,1.0,1.2,1,1,4,5,3,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,97fc2ac18172aa37d4237c0f61f68d2c,,200|260|260|260|260|260,200,260,60,60,0,60,0,1.0,24.0,1,1,4,5,60,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,570f49e94180026039f437f0ebbaf22fefe8d04e6d233bd35cf2fabdeb93fb0d,,200|260|260|260|260|260,200,260,60,60,0,60,0,1.0,24.0,1,1,4,5,60,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,12e0c83a92e607c8d73ab1844804a251,,255|255|255|255|255|260,255,260,5,5,0,5,4,1.0,2.0,1,1,4,5,0,5,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,7387135e644abecdd189b4057c90bf14,,275|279|280|280|281|281,275,281,6,4,2,4,0,0.667,1.47,1,3,2,5,4,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,dfb028c405e4befad50a3f8702d229ec,,200|260|260|260|260|260,200,260,60,60,0,60,0,1.0,24.0,1,1,4,5,60,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,b8851d8f23b160b0c3c16b6ea75f0184,,210|260|260|260|260|260,210,260,50,50,0,50,0,1.0,20.0,1,1,4,5,50,0,,,,,
parker_vs_persistent,Seasonal_Parker,at260,a472840cb695a4914723c54e3d27ce59,,256|259|260|260|260|260,256,260,4,3,1,3,0,0.75,1.17,1,2,3,5,3,0,,,,,
parker_vs_persistent,Seasonal_Parker,past260,be6accba01d5e7dae345661dfae21f07efe8d04e6d233bd35cf2fabdeb93fb0d,,245|261|261|262|262|262,245,262,17,16,1,16,0,0.941,6.31,1,2,3,5,16,0,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,f15088071bf5822c489de5cb8e132c1defe8d04e6d233bd35cf2fabdeb93fb0d,,275|280|280|281|281|281,275,281,6,5,1,5,0,0.833,1.94,1,2,3,5,5,0,,,,,
parker_vs_persistent,Seasonal_Parker,burnend,e38b9f3a713f6293377bdba0fa7ab9ce,,273|280|280|280|281|283,273,283,10,9,1,7,0,0.7,2.61,2,3,2,5,7,2,,,,,
parker_vs_persistent,Seasonal_Parker,at260,6bad1e8cf7cf14ef7df1599bbe0b74e2efe8d04e6d233bd35cf2fabdeb93fb0d,,240|260|260|260|260|260,240,260,20,20,0,20,0,1.0,8.0,1,1,4,5,20,0,,,,,
climb_260_casestudy,final_260,climb,,떴옹,,,260,,,,,,,,,,,,,,21,0.3,13,0.3,-229953
climb_260_casestudy,final_260,climb,,고철이,,,260,,,,,,,,,,,,,,10,0.01,24,29.34,2424385
climb_260_casestudy,final_260,climb,,딸기찹쌀S2,,,260,,,,,,,,,,,,,,18,2.8,16,10.19,4215908
climb_260_casestudy,final_260,climb,,재이봉봉19,,,260,,,,,,,,,,,,,,33,0.07,1,0.66,-3116
climb_260_casestudy,final_260,climb,,은월야캐염뿌,,,260,,,,,,,,,,,,,,34,1.75,0,1.75,-441286
climb_260_casestudy,final_260,climb,,홍련의장미,,,260,,,,,,,,,,,,,,19,0.01,15,26.68,52647
climb_260_casestudy,final_260,climb,,D1EX80,,,260,,,,,,,,,,,,,,14,0.43,20,0.43,-340300
climb_260_casestudy,reach_261plus,climb,,지팡아,,,261,,,,,,,,,,,,,,15,0.74,19,6.03,-205031
climb_260_casestudy,final_260,climb,,뉵템,,,260,,,,,,,,,,,,,,24,0.08,10,0.08,61744
