ocid,provisional_label,cohort,lv_2025-06-12,lv_2025-09-24,lv_2025-12-12,lv_2026-03-15,lv_2026-06-12,lv_2026-09-02
8442b4c1f5b02af57c4b61dc08e26400efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,228,233,242,250,255,257
832a06fc6060a90018dc3ee36a13764d,Persistent_cand,at260,252,254,256,260,260,260
a10f358027f7b1b5027e2fbde7f4f9e5,Persistent_cand,at260,220,247,257,260,260,260
f819509cff0bdac0ed52ee4dcc7057e5,Persistent_cand,climb,205,205,235,250,255,260
0e62f9864e0b18394c28256438c47a5b,Persistent_cand,climb,201,248,250,250,255,256
cfc2bb37c4e8dcf7100668e9bc090074efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,past260,204,240,260,260,262,264
64990f478b38d2be8978684908e2c19a,Persistent_cand,burnend,271,271,275,277,281,283
8ed238b5ea8e0978a2c36c780ecde49d,Persistent_cand,burnend,272,275,275,279,281,281
3b4b7a38be1a4cdeab289b1af8cdb6a8efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,at260,230,255,257,260,260,260
6d1535e43968392674b8adfe674b815f,Persistent_cand,at260,220,226,229,245,260,260
9c5f2f8d67c23852d45da9de103e365eefe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,220,220,220,232,255,260
c65b789c8f6e4622171e14f115b643daefe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,206,206,211,242,255,260
9a3b76c2ec169b5e6e8c4f0c096cf2b1efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,231,241,246,250,255,260
d658a1d898410d9343f0d3c0c4cb0987efe8d04e6d233bd35cf2fabdeb93fb0d,Persistent_cand,climb,220,220,220,227,255,260
8197eeaf6241ff31c73878bf45d0a965,Persistent_cand,burnend,265,265,270,275,281,283
7414e5aaedc601e8e7ef5a3beb9287d5,Persistent_cand,climb,210,210,211,225,255,260
736b4685e047f6f4ad79b5881861c7d1,Persistent_cand,climb,204,204,204,210,255,260
