label,cohort,ocid,levels,start_level,total_growth,event_growth,between_growth,n_active_ge1,n_active_ge2,top1_share,top2_share,hhi,disp_entropy,conc_entropy,gap12
Seasonal_Parker,burnend,d64d6a4ec16d606cd4a5eb8a42da3e78efe8d04e6d233bd35cf2fabdeb93fb0d,277|280|281|281|281|281,277,4,3,1,2,1,0.75,1.0,0.625,0.349,0.651,2
Seasonal_Parker,at260,452273f5d7978c3a0c2e4999cc5ed7d2efe8d04e6d233bd35cf2fabdeb93fb0d,200|260|260|260|260|260,200,60,60,0,1,1,1.0,1.0,1.0,-0.0,1.0,60
Seasonal_Parker,climb,740b9340e7b0e51ffa8efd68094df804,255|255|255|255|255|260,255,5,5,0,1,1,1.0,1.0,1.0,-0.0,1.0,5
Seasonal_Parker,burnend,e5ef0541ba5c1bebafcf4b4b1f34bc79,267|281|281|281|281|284,267,17,17,0,2,2,0.824,1.0,0.709,0.29,0.71,11
Seasonal_Parker,past260,22fa89d61007810fc5eb1a548a45f176,261|261|261|262|262|266,261,5,4,1,2,1,0.8,1.0,0.68,0.311,0.689,3
Seasonal_Parker,at260,6aa175852e53cf84803c974eee2b8dfcefe8d04e6d233bd35cf2fabdeb93fb0d,251|260|260|260|260|260,251,9,9,0,1,1,1.0,1.0,1.0,-0.0,1.0,9
Seasonal_Parker,at260,4718c9518becadd35feec18ffc60d265efe8d04e6d233bd35cf2fabdeb93fb0d,226|260|260|260|260|260,226,34,34,0,1,1,1.0,1.0,1.0,-0.0,1.0,34
Seasonal_Parker,past260,14adc9e51f502dd3a4414b66858e0edcefe8d04e6d233bd35cf2fabdeb93fb0d,250|262|262|262|262|262,250,12,12,0,1,1,1.0,1.0,1.0,-0.0,1.0,12
Seasonal_Parker,at260,1ec19129892f9b53d257cf4bbad35507,220|260|260|260|260|260,220,40,40,0,1,1,1.0,1.0,1.0,-0.0,1.0,40
Seasonal_Parker,at260,f13c3c02550fc375b7ab8f3aad57dfb086e68d4012202d0434d05f81868f68e3,255|260|260|260|260|260,255,5,5,0,1,1,1.0,1.0,1.0,-0.0,1.0,5
Seasonal_Parker,at260,84c02150731ba1e3e04f93afa3585f7aefe8d04e6d233bd35cf2fabdeb93fb0d,253|259|259|259|259|260,253,7,7,0,2,1,0.857,1.0,0.755,0.255,0.745,5
Seasonal_Parker,past260,5ba1821568da89325981c6f0019701e8,251|262|262|262|262|262,251,11,11,0,1,1,1.0,1.0,1.0,-0.0,1.0,11
Seasonal_Parker,burnend,be50c466d88e99674713904f4b85f29c,280|281|281|281|281|285,280,5,5,0,2,1,0.8,1.0,0.68,0.311,0.689,3
Seasonal_Parker,at260,e8b7789820542a49c5167858143b940aefe8d04e6d233bd35cf2fabdeb93fb0d,250|260|260|260|260|260,250,10,10,0,1,1,1.0,1.0,1.0,-0.0,1.0,10
Seasonal_Parker,at260,42a3870b8999c0537185ea6735549b26,230|260|260|260|260|260,230,30,30,0,1,1,1.0,1.0,1.0,-0.0,1.0,30
Seasonal_Parker,at260,39f9e29601953aa554df254cfea81665,260|260|260|260|260|264,260,4,4,0,1,1,1.0,1.0,1.0,-0.0,1.0,4
Seasonal_Parker,past260,6936fd4ca030970a5bd7003771a5c350,257|262|262|262|262|262,257,5,5,0,1,1,1.0,1.0,1.0,-0.0,1.0,5
Seasonal_Parker,at260,2eb9cc3de8dfdfe726934f0374e6d4e8,250|260|260|260|260|260,250,10,10,0,1,1,1.0,1.0,1.0,-0.0,1.0,10
Seasonal_Parker,at260,bd1cb4182521f3a97ab6810bc54bf8a3,255|260|260|260|260|260,255,5,5,0,1,1,1.0,1.0,1.0,-0.0,1.0,5
Seasonal_Parker,at260,df39ef07d6fe6534d6e2bf69673d56e4aae77432709819edb959e1fd5d1d77b4,255|260|260|260|260|260,255,5,5,0,1,1,1.0,1.0,1.0,-0.0,1.0,5
Seasonal_Parker,burnend,4f3b4b39c8ddd327b3b8a2b1e95eddde,277|281|281|281|281|281,277,4,4,0,1,1,1.0,1.0,1.0,-0.0,1.0,4
Seasonal_Parker,burnend,0fc562e3f41f92d8b7f6ac2d5835442e,277|278|279|280|280|283,277,6,4,2,4,1,0.5,0.667,0.333,0.772,0.228,2
Seasonal_Parker,at260,13c1c1bde2f14d9390a8a609c42bf4a1efe8d04e6d233bd35cf2fabdeb93fb0d,257|260|260|260|260|260,257,3,3,0,1,1,1.0,1.0,1.0,-0.0,1.0,3
Seasonal_Parker,at260,97fc2ac18172aa37d4237c0f61f68d2c,200|260|260|260|260|260,200,60,60,0,1,1,1.0,1.0,1.0,-0.0,1.0,60
Seasonal_Parker,at260,570f49e94180026039f437f0ebbaf22fefe8d04e6d233bd35cf2fabdeb93fb0d,200|260|260|260|260|260,200,60,60,0,1,1,1.0,1.0,1.0,-0.0,1.0,60
Seasonal_Parker,at260,12e0c83a92e607c8d73ab1844804a251,255|255|255|255|255|260,255,5,5,0,1,1,1.0,1.0,1.0,-0.0,1.0,5
Seasonal_Parker,burnend,7387135e644abecdd189b4057c90bf14,275|279|280|280|281|281,275,6,4,2,3,1,0.667,0.833,0.5,0.539,0.461,3
Seasonal_Parker,at260,dfb028c405e4befad50a3f8702d229ec,200|260|260|260|260|260,200,60,60,0,1,1,1.0,1.0,1.0,-0.0,1.0,60
Seasonal_Parker,at260,b8851d8f23b160b0c3c16b6ea75f0184,210|260|260|260|260|260,210,50,50,0,1,1,1.0,1.0,1.0,-0.0,1.0,50
Seasonal_Parker,at260,a472840cb695a4914723c54e3d27ce59,256|259|260|260|260|260,256,4,3,1,2,1,0.75,1.0,0.625,0.349,0.651,2
Seasonal_Parker,past260,be6accba01d5e7dae345661dfae21f07efe8d04e6d233bd35cf2fabdeb93fb0d,245|261|261|262|262|262,245,17,16,1,2,1,0.941,1.0,0.889,0.139,0.861,15
Seasonal_Parker,burnend,f15088071bf5822c489de5cb8e132c1defe8d04e6d233bd35cf2fabdeb93fb0d,275|280|280|281|281|281,275,6,5,1,2,1,0.833,1.0,0.722,0.28,0.72,4
Seasonal_Parker,burnend,e38b9f3a713f6293377bdba0fa7ab9ce,273|280|280|280|281|283,273,10,9,1,3,2,0.7,0.9,0.54,0.498,0.502,5
Seasonal_Parker,at260,6bad1e8cf7cf14ef7df1599bbe0b74e2efe8d04e6d233bd35cf2fabdeb93fb0d,240|260|260|260|260|260,240,20,20,0,1,1,1.0,1.0,1.0,-0.0,1.0,20
